clusterName,markerGene,score
1,Pld5,0.6116774791473587
1,Rmst,0.6116774791473587
1,Rorb,0.6116774791473587
2,Tafa2,0.6357483634749805
2,Nell1,0.6357483634749805
2,Cux1,0.6357483634749805
2,Cadps2,0.6357483634749805
3,Scn7a,0.5972740131155972
3,Cpne4,0.5972740131155972
4,Plp1,0.4321394565297004
5,Deptor,0.7300275482093664
5,Il1rapl2,0.7300275482093664
6,Selplg,0.8217131474103586
6,Hexb,0.8217131474103586
7,6530403H02Rik,0.5658048590359881
7,Rfx3,0.5658048590359881
7,Cux1,0.5658048590359881
8,Bicc1,0.5023493642896628
8,Kctd8,0.5023493642896628
8,Zfhx4,0.5023493642896628
8,Col19a1,0.5023493642896628
9,D7Ertd443e,0.4080873232448524
9,Plp1,0.4080873232448524
10,Igfn1,0.48154981549815495
10,Gsg1l,0.48154981549815495
10,Cux1,0.48154981549815495
11,Nrp1,0.4175061562569957
11,Tle4,0.4175061562569957
11,Hs3st4,0.4175061562569957
12,Bdnf,0.4795258620689655
12,B230216N24Rik,0.4795258620689655
13,Pld5,0.535
13,Chrm2,0.535
13,Cdh9,0.535
14,Gm2164,0.8018242122719734
14,Tafa1,0.8018242122719734
15,Gli3,0.4460978413590497
15,Mertk,0.4460978413590497
15,Ptprz1,0.4460978413590497
16,Pdgfra,0.9232228871697562
16,Vcan,0.9232228871697562
17,Matn2,0.5363075462743236
17,Ccbe1,0.5363075462743236
17,Fbxl7,0.5363075462743236
18,Plpp3,0.3537098227696005
18,Mertk,0.3537098227696005
18,Gja1,0.3537098227696005
19,Slc26a4,0.6287091988130564
19,Sulf1,0.6287091988130564
20,Sulf1,0.6696619597774925
20,Cntnap4,0.6696619597774925
20,Hs3st4,0.6696619597774925
20,Ryr3,0.6696619597774925
21,Eya4,0.8388187155310443
21,6330411D24Rik,0.8388187155310443
22,Sst,0.8915779283639884
22,Reln,0.8915779283639884
23,Cpa6,0.4966945024356298
23,Trabd2b,0.4966945024356298
23,Foxp2,0.4966945024356298
24,Slc25a18,0.3671503627720791
24,Mertk,0.3671503627720791
25,Tshz2,0.8857932794555509
25,Vwc2l,0.8857932794555509
26,Foxp2,0.37270550678371905
26,Cdh18,0.37270550678371905
26,Ephb1,0.37270550678371905
26,Thsd7b,0.37270550678371905
27,Adamts18,0.5075187969924813
27,Il1rapl2,0.5075187969924813
27,Ntng1,0.5075187969924813
28,A330049N07Rik,0.5797697368421053
28,Anln,0.5797697368421053
28,Enpp6,0.5797697368421053
29,Vip,0.8993865030674847
30,Pde11a,0.8296681327469012
30,Kit,0.8296681327469012
31,Htr4,0.4950855478704041
31,Cdh13,0.4950855478704041
32,Whrn,0.551948051948052
32,1700047F07Rik,0.551948051948052
32,Thsd7a,0.551948051948052
33,Robo3,0.3659061558329746
33,Kctd8,0.3659061558329746
33,Kcnh5,0.3659061558329746
33,Unc5d,0.3659061558329746
33,Hs6st3,0.3659061558329746
34,Tac1,0.5811036789297659
34,Rbp4,0.5811036789297659
35_1,Frem1,0.8015768725361366
35_1,Cnr1,0.8015768725361366
35_2,Ndst4,0.5981941309255079
35_2,Cxcl14,0.5981941309255079
35_3,Gm39185,0.52734375
35_3,B130024G19Rik,0.52734375
35_3,Thsd7a,0.52734375
36,Ccn2,0.8140877598152425
37,Aox3,0.7674236491777604
37,Slc6a13,0.7674236491777604
38_1,Apoe,0.22959183673469388
38_1,Cst3,0.22959183673469388
38_2,Thbs4,0.46153846153846156
38_3,Sntb1,0.6382978723404256
38_3,Mybpc1,0.6382978723404256
39,Bnc2,0.8707865168539326
40,Tspan2,0.6708715596330275
40,Mobp,0.6708715596330275
41,Slco1a4,0.9238665526090676
41,Flt1,0.9238665526090676
42_1,Mrc1,0.7970027247956403
42_2,Tgfbr1,0.38461538461538464
42_2,Npas3,0.38461538461538464
43,Nr4a2,0.7783018867924528
43,Ntng2,0.7783018867924528
44,Tns3,0.8415841584158416
45,Csf1r,0.8038147138964578
45,Mog,0.8038147138964578
46,Tacr1,0.7472527472527473
47,Slc38a11,0.5042918454935622
48,Sfta3-ps,0.6122448979591837
48,Lamb1,0.6122448979591837
